run_order,shard_id,year,utt_id,session_id,reason_code,selection_rule,form,original_form,r3_corpus_wav_path,r3_corpus_wav_bytes,r3_corpus_lab_path,r3_corpus_lab_bytes,recoverability_class,wav_channels,wav_sample_width_bytes,wav_sample_rate,wav_frames,wav_duration_seconds,source_wav_sha256,source_lab_sha256,lab_utf8_valid,lab_has_hangul,lab_token_count,dictionary_oov_count,dictionary_oov_json,d5_disposition,d5_no_run_reason
1,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100000024.1.1.152,SDRW2100000024,mfa_feature_generation_failed,all_feature_generation_failures,그러면은,그러면은,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000024\SDRW2100000024.1.1.152.wav,1004,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000024\SDRW2100000024.1.1.152.lab,12,ready_for_feature_failure_diagnostic,1,2,16000,480,0.03,518cf570dc730af1ffcea89d9bb72ea7195aa0baa18607fb9890a0c15c1b1bd8,aba1496c25606833fe2da2ddfdb09118e4a05f7330229b0ee433c93937ea80ef,True,True,1,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
2,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100000154.1.1.417,SDRW2100000154,mfa_feature_generation_failed,all_feature_generation_failures,근데 거기는,근데 거기는,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000154\SDRW2100000154.1.1.417.wav,1004,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000154\SDRW2100000154.1.1.417.lab,16,ready_for_feature_failure_diagnostic,1,2,16000,480,0.03,d73d2beb3dab40f7e58938858e9e2554447e2c070401d744b0de418ddfd7065c,a9a85840e832336d9267e0a3088d8dce405315568890b903fd0fb90ee6cfff8a,True,True,2,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
3,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100000736.1.1.308,SDRW2100000736,mfa_feature_generation_failed,all_feature_generation_failures,가끔 생각나는 거 같아.,가끔 생각나는 거 같애.,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000736\SDRW2100000736.1.1.308.wav,3240,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000736\SDRW2100000736.1.1.308.lab,30,ready_for_feature_failure_diagnostic,1,2,16000,1598,0.099875,9d2a949ee72feed76c9afc61b288c799c1d885ac746de198d53d564900a76dfa,2a90cd616f3b35c63c95153fff913d2975ab2e579378a2f998d1b5fe8430d0b6,True,True,4,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
4,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100000871.1.1.215,SDRW2100000871,mfa_feature_generation_failed,all_feature_generation_failures,너무 버겁대.,너무 버겁대.,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000871\SDRW2100000871.1.1.215.wav,3240,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100000871\SDRW2100000871.1.1.215.lab,16,ready_for_feature_failure_diagnostic,1,2,16000,1598,0.099875,9d2a949ee72feed76c9afc61b288c799c1d885ac746de198d53d564900a76dfa,2f9877c37614fc7a55403e81a74723278726924ee83ef0278eb9be4bcc04e26e,True,True,2,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
5,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100001504.1.1.447,SDRW2100001504,mfa_feature_generation_failed,all_feature_generation_failures,그러니까 그게,그니까 그게,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001504\SDRW2100001504.1.1.447.wav,684,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001504\SDRW2100001504.1.1.447.lab,19,ready_for_feature_failure_diagnostic,1,2,16000,320,0.02,fffff6386f4d5a9f98b140a029a8aee08143b1974c02919f274bac445a0ee5e0,167b8febac85177c5ee7ecf7825d6255ff4eb94c9e94001c80ea2aa876e2a17e,True,True,2,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
6,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100001510.1.1.298,SDRW2100001510,mfa_feature_generation_failed,all_feature_generation_failures,에 어떤 식으로 갈 건데?,에 어떤 식으로 갈 건데?,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001510\SDRW2100001510.1.1.298.wav,1324,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001510\SDRW2100001510.1.1.298.lab,31,ready_for_feature_failure_diagnostic,1,2,16000,640,0.04,bde5e521861078ec16cc6bac0c49ad570617d00cc95932643b349788ad51dbb1,70b08c3457c545ecfc9ebc225386a8e34a7b88ad5cc4815ea957044c48f9a1bf,True,True,5,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
7,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100001512.1.1.33,SDRW2100001512,mfa_feature_generation_failed,all_feature_generation_failures,근데 이거 인제,근데 이거 인제,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001512\SDRW2100001512.1.1.33.wav,1324,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001512\SDRW2100001512.1.1.33.lab,20,ready_for_feature_failure_diagnostic,1,2,16000,640,0.04,c193373a4a6b638e84595f1f3c4c1157c713221e5ed7dd789769d8ca6cd3341f,d5797004afa1dd525f4da243edc4066ee9ff7d1790845474269766897302996e,True,True,3,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
8,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100001591.1.1.229,SDRW2100001591,mfa_feature_generation_failed,all_feature_generation_failures,왜냐하면,왜냐면,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001591\SDRW2100001591.1.1.229.wav,684,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001591\SDRW2100001591.1.1.229.lab,12,ready_for_feature_failure_diagnostic,1,2,16000,320,0.02,3667d9c890248f899e17f7bf8601509edabe7d3633510b7da5244951e6e4ebb3,59058794ffbb0dae187718411e961bd44cd791aaec7753b13887481d2d361a01,True,True,1,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
9,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100001615.1.1.496,SDRW2100001615,mfa_feature_generation_failed,all_feature_generation_failures,응 응 근데,응 응 근데,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001615\SDRW2100001615.1.1.496.wav,684,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001615\SDRW2100001615.1.1.496.lab,14,ready_for_feature_failure_diagnostic,1,2,16000,320,0.02,d313c2fa44e057827a1b35725128d02d11b2561335e9b457e850c6727ea1ad67,9cb6ffe900c955cf36b00a876899b103934b20bee3aa5395cb973e0ba76eb9e6,True,True,3,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
10,D4_POST_MFA_DIAGNOSTIC_0001,2021,SDRW2100001817.1.1.214,SDRW2100001817,mfa_feature_generation_failed,all_feature_generation_failures,그래서 이거는,그래서 이거는,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001817\SDRW2100001817.1.1.214.wav,364,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\corpus\2021\SDRW2100001817\SDRW2100001817.1.1.214.lab,19,ready_for_feature_failure_diagnostic,1,2,16000,160,0.01,ef940cd318478e49adc2b67827f5562b3d87604f7cf9d78e57b8530545f21c34,f095ae5a6a750231f01273551c84cbebd6daa1485e1dedbc29d05fd6c1361f1e,True,True,2,0,[],hold_for_audio_duration_recovery_no_same_input_mfa,observed_feature_failure_and_wav_duration_lt_0_1_seconds
