review_order,selection_reasons,diagnostic_layer,diagnostic_class,comparison_edit_distance,edit_signature,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,mismatch_occurrence_percent,example_targets_json,example_tokens_json,proposed_policy,review_question_ko,decision,notes,automatic_equivalence_approved
1,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,secondary_articulation_encodes_glide,1,RULE_ONLY:Y,60627,60881,729818,89330,163372,110460,96748,133057,136851,26.097,"[""가가겨기"", ""가거드뇨"", ""가게거드뇨"", ""가게라며는"", ""가게여썯꺼드뇨""]","[""가가격이"", ""가거든요"", ""가게거든요"", ""가게라면은"", ""가게였었거든요""]",review_model_unitization_equivalence,palatal/labial phone 하나가 규칙 Roman Y/W를 포함하는 표상으로 인정할 수 있는가?,pending,,false
2,known_regression:있는;top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,length_supported_adjacent_identical_coalescence,1,RULE_ONLY:N,10242,10383,442081,49996,104234,70830,58782,86832,71407,15.808,"[""가게드리언는데"", ""가게연는데"", ""가겐나"", ""가겐나카고"", ""가겐네""]","[""가게들이었는데"", ""가게였는데"", ""가겠나"", ""가겠나카고"", ""가겠네""]",review_model_unitization_equivalence,장음 phone 하나가 같은 규칙 단위 둘을 나타내는 표상으로 인정할 수 있는가?,pending,,false
3,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,secondary_articulation_encodes_glide,1,RULE_ONLY:W,17181,17220,226915,24016,51867,36442,28789,44495,41306,8.114,"[""가곡뜰과는"", ""가과니"", ""가과니더라고요"", ""가과니던데"", ""가과니야""]","[""가곡들과는"", ""가관이"", ""가관이더라고요"", ""가관이던데"", ""가관이야""]",review_model_unitization_equivalence,palatal/labial phone 하나가 규칙 Roman Y/W를 포함하는 표상으로 인정할 수 있는가?,pending,,false
4,known_regression:있지;top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,single_cross_group_substitution,1,SUB:JJ>D,486,553,223132,23083,56219,35453,27026,41286,40065,7.979,"[""읻꺼나"", ""읻께"", ""읻껟따는"", ""읻꼬"", ""읻끼""]","[""잇거나"", ""잇게"", ""잇겠다는"", ""잇고"", ""잇기""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
5,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,single_cross_group_substitution,1,SUB:NG>N,11147,11172,109479,13791,23462,16018,14776,19627,21805,3.915,"[""가겐는가라구"", ""가겐는거야"", ""가겓따든가"", ""가겓따라든가"", ""가고기라든가""]","[""가겠는가라구"", ""가겠는거야"", ""가겠다든가"", ""가겠다라든가"", ""가곡이라든가""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
6,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,length_supported_adjacent_identical_coalescence,1,RULE_ONLY:L,9899,9965,92201,8961,25266,14418,11424,15352,16780,3.297,"[""가깝낄래"", ""가산말로"", ""가솔리니나"", ""가솔리닐"", ""가을랄""]","[""가깝길래"", ""가삿말로"", ""가솔린이나"", ""가솔린일"", ""가을날""]",review_model_unitization_equivalence,장음 phone 하나가 같은 규칙 단위 둘을 나타내는 표상으로 인정할 수 있는가?,pending,,false
7,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,single_rule_unit_missing_from_candidate,1,RULE_ONLY:G,3989,4016,71658,8097,14304,11595,9712,13595,14355,2.562,"[""가닥까다그로"", ""가득까득"", ""가로막꼬"", ""가상악끼도"", ""가속꾸간""]","[""가닥가닥으로"", ""가득가득"", ""가로막고"", ""가상악기도"", ""가속구간""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
8,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,single_cross_group_substitution,1,SUB:M>B,1276,1289,65809,8543,14987,9975,10205,11864,10235,2.353,"[""가까옵꼬"", ""가시나스럽꼬"", ""가엽꼬"", ""가을답꼬"", ""가집끼도""]","[""가까옵고"", ""가시나스럽고"", ""가엽고"", ""가을답고"", ""가집기도""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
9,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,mixed_or_cross_group_difference,2,RULE_ONLY:P;SUB:B>Y,2500,2508,50035,6710,8305,5804,7682,9266,12268,1.789,"[""가평이얻꺼든"", ""가평이자나"", ""간펴느로"", ""간펴늠식"", ""가라이펴""]","[""가평이었거든"", ""가평이잖아"", ""간편으로"", ""간편음식"", ""갈아입혀""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
10,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,single_cross_group_substitution,1,SUB:NG>G,2742,2761,49304,5871,10121,8414,7009,9585,8304,1.763,"[""간호학깨론"", ""간호학싸가"", ""감독땁께"", ""감독또"", ""감독뜰""]","[""간호학개론"", ""간호학사가"", ""감독답게"", ""감독도"", ""감독들""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
11,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,single_cross_group_substitution,1,SUB:N>NG,8115,8116,47575,5645,10827,6973,6001,9093,9036,1.701,"[""가공저긴"", ""가능성드를"", ""가능성드리"", ""가능저긴"", ""가독썽도""]","[""가공적인"", ""가능성들을"", ""가능성들이"", ""가능적인"", ""가독성도""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
12,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,mixed_or_cross_group_difference,2,RULE_ONLY:W;SUB:E>AE,1805,1812,47258,4605,12575,9077,5748,8642,6611,1.69,"[""가마솓뙈지국빠비라고"", ""가미돼이써요"", ""가미됃끼"", ""가미됃낀"", ""가미됃따""]","[""가마솥돼지국밥이라고"", ""가미돼있어요"", ""가미됐기"", ""가미됐긴"", ""가미됐다""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
13,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,mixed_or_cross_group_difference,2,RULE_ONLY:CH;SUB:J>W,1424,1424,33516,3518,7287,5044,4436,6806,6425,1.198,"[""갈취핻딴"", ""감춰놛따가"", ""감춷따가"", ""감춷떤"", ""감춰써""]","[""갈취했단"", ""감춰놨다가"", ""감췄다가"", ""감췄던"", ""감췄어""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
14,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,mixed_or_cross_group_difference,2,SUB:NG>G;RULE_ONLY:Y,736,736,32965,4770,8116,5507,3973,5561,5038,1.179,"[""가대학꾜에"", ""간호대학꾜도"", ""간호학꾜에"", ""감독파니며는"", ""강남대학꾜""]","[""가대학교에"", ""간호대학교도"", ""간호학교에"", ""감독판이면은"", ""강남대학교""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
15,top_30_by_occurrence,substantive_difference_candidate,single_cross_group_substitution,1,SUB:J>D,1163,1216,29551,2914,7324,4774,3402,6100,5037,1.057,"[""가맏꼬"", ""가맏따"", ""가맏따가"", ""가맏따고"", ""감칠맏또""]","[""감았고"", ""감았다"", ""감았다가"", ""감았다고"", ""감칠맛도""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
16,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,combined_length_and_glide_encoding,2,RULE_ONLY:L;RULE_ONLY:Y,4508,4531,28580,3206,5431,4326,3676,5380,6561,1.022,"[""가디걸류는"", ""가위눌려써"", ""가톨리기거드뇨"", ""갈략"", ""갈략쩌긴""]","[""가디건류는"", ""가위눌렸어"", ""가톨릭이거든요"", ""간략"", ""간략적인""]",review_model_unitization_equivalence,장음 병합과 Y/W 흡수를 함께 model phone 표상 차이로 인정할 수 있는가?,pending,,false
17,top_30_by_occurrence,substantive_difference_candidate,single_cross_group_substitution,1,SUB:M>N,3405,3407,26919,3637,4855,3699,4171,4760,5797,0.963,"[""가난뱅이드리야"", ""가전바께"", ""가정에서만뿌니"", ""가지씽만바께"", ""각뽄뿐마니""]","[""가난뱅이들이야"", ""가전밖에"", ""가정에서만뿐이"", ""가지씩만밖에"", ""각본뿐만이""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
18,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,secondary_articulation_encodes_glide,2,RULE_ONLY:W;RULE_ONLY:Y,2620,2622,26371,3049,5486,3716,3441,5007,5672,0.943,"[""가꿔젿"", ""가꿔쓰면"", ""가봗꺼드뇨"", ""가봔냐"", ""가봔냐고""]","[""가꿔졌"", ""가꿨으면"", ""가봤거든요"", ""가봤냐"", ""가봤냐고""]",review_model_unitization_equivalence,palatal/labial phone 하나가 규칙 Roman Y/W를 포함하는 표상으로 인정할 수 있는가?,pending,,false
19,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,combined_length_and_glide_encoding,2,RULE_ONLY:W;RULE_ONLY:N,865,867,25768,2925,5936,4581,3477,5132,3717,0.921,"[""가과니언는데"", ""가꿔놘는데"", ""가봐야겐네"", ""가봔나"", ""가봔나요""]","[""가관이었는데"", ""가꿔놨는데"", ""가봐야겠네"", ""가봤나"", ""가봤나요""]",review_model_unitization_equivalence,장음 병합과 Y/W 흡수를 함께 model phone 표상 차이로 인정할 수 있는가?,pending,,false
