sample_reason,token,target_hangul,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,rule_pron_hangul,rule_pron_roman,g2p_candidate_phones,g2p_candidate_roman,comparison_status,comparison_edit_distance,target_gate_class,source_gate_class,surface_rule_names,dictionary_pron_hangul_json,dictionary_pron_roman_json,dictionary_source_refs_json,original_selection_status,original_selection_reason,morph_context_required,candidate_is_final_selection
high_frequency:exact_candidate_dictionary_agree,생각해,생가캐,34719,1942,12002,5675,3461,7738,3901,생가캐,S AE ng _ G A _ K AE,sʰ ɛː ŋ ɡ ɐ kʰ ɛː,S AE NG G A K AE,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,aspiration,"[""생가캐""]","[""S AE ng _ G A _ K AE""]","[""NIKL_lexicon_full_legacy:pron_g2p""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,특히,트키,10830,1434,2011,1524,1285,2212,2364,트키,T EU _ K I,tʰ ɨ cʰ i,T EU K I,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,aspiration,"[""트키""]","[""T EU _ K I""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,갑자기,갑짜기,10582,1218,2536,1783,1541,1823,1681,갑짜기,G A p _ JJ A _ G I,k ɐ p̚ tɕ͈ ɐ ɟ i,G A p JJ A G I,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,fortis,"[""갑짜기""]","[""G A p _ JJ A _ G I""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,어쨌든,어짿뜬,10369,822,3155,2115,1308,1794,1175,어짿뜬,EO _ JJ AE t _ TT EU n,ʌ tɕ͈ ɛː t̚ t͈ ɨ n,EO JJ AE t TT EU N,exact_rule_roman,0,hold_exact_source_evidence_review,exact_candidate_dictionary_agree,neutralize|fortis,"[""어짿뜬""]","[""EO _ JJ AE t _ TT EU n""]","[""NIKL_lexicon_full_legacy:pron_g2p"", ""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,직접,직쩝,10090,1125,2092,1463,1142,1955,2313,직쩝,J I k _ JJ EO p,tɕ i k̚ tɕ͈ ʌ p̚,J I k JJ EO p,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,fortis,"[""직쩝""]","[""J I k _ JJ EO p""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,놓고,노코,8676,361,2137,1569,1076,1633,1900,노코,N O _ K O,n o kʰ o,N O K O,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,aspiration,"[""노코""]","[""N O _ K O""]","[""NIKL_lexicon_full_legacy:pron_g2p""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,모르겠어,모르게써,5227,232,2063,1217,461,908,346,모르게써,M O _ R EU _ G E _ SS EO,m o ɾ ɨ ɡ e s͈ ʌ,M O R EU G E SS EO,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,liaison,"[""모르게써""]","[""M O _ R EU _ G E _ SS EO""]","[""NIKL_lexicon_full_legacy:pron_g2p""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,밖에,바께,5078,517,2037,639,496,761,628,바께,B A _ KK E,p ɐ k͈ e,B A KK E,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,liaison,"[""바께""]","[""B A _ KK E""]","[""NIKL_lexicon_full_legacy:pron_g2p""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,직장,직짱,4239,317,581,485,642,849,1365,직짱,J I k _ JJ A ng,tɕ i k̚ tɕ͈ ɐ ŋ,J I k JJ A NG,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,fortis,"[""직짱""]","[""J I k _ JJ A ng""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,똑같이,똑까치,3179,336,761,533,441,585,523,똑까치,TT O k _ KK A _ CH I,t͈ o k̚ k͈ ɐ tɕʰ i,TT O k KK A CH I,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,palatalization|fortis,"[""똑까치""]","[""TT O k _ KK A _ CH I""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
