target_token,token_position_1based,utt_id,year,session_id,dialogue_id,speaker_id,form,original_form,start,end,note,pron_reference_form,pron_reference_hangul,pron_reference_source,pron_reference_status,source_search_master_csv,raw_json_path,raw_json_form,raw_json_original_form,raw_json_dialogue_id,raw_json_speaker_id,raw_json_start,raw_json_end,raw_json_note,raw_json_match_status
읊으면서,3,SDRW2000000115.1.1.191,2020,SDRW2000000115,SDRW2000000115.1,SD2000175,시를 이제 읊으면서 끝나잖아요.,시를 이제 읊으면서 끝나잖아요.,500.73108,502.98305,,시를 이제 읊으면서 끝나잖아요.,시를 이제 을프면서 끈나자나요,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000000115.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2020_v1.4\NIKL_DIALOGUE_2020_v1.4\SDRW2000000115.json,시를 이제 읊으면서 끝나잖아요.,시를 이제 읊으면서 끝나잖아요.,SDRW2000000115.1,SD2000175,500.73108,502.98305,,exact
읊어보라고,4,SDRW2000001801.1.1.66,2020,SDRW2000001801,SDRW2000001801.1,SD2002222,그 스케줄을 누가 읊어보라고 하면,그 스케줄을 누가 읊어보라고 하면,148.39808,151.22902,,그 스케줄을 누가 읊어보라고 하면,그 스케주를 누가 을퍼보라고 하면,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000001801.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2020_v1.4\NIKL_DIALOGUE_2020_v1.4\SDRW2000001801.json,그 스케줄을 누가 읊어보라고 하면,그 스케줄을 누가 읊어보라고 하면,SDRW2000001801.1,SD2002222,148.39808,151.22902,,exact
읊어놓고,1,SDRW2000002214.1.1.232,2020,SDRW2000002214,SDRW2000002214.1,SD2001370,읊어놓고 있잖아.,읊어놓고 있잖아.,524.78706,526.92206,,읊어놓고 있잖아.,을퍼노코 읻짜나,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2020\SDRW2000002214.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2020_v1.4\NIKL_DIALOGUE_2020_v1.4\SDRW2000002214.json,읊어놓고 있잖아.,읊어놓고 있잖아.,SDRW2000002214.1,SD2001370,524.78706,526.92206,,exact
읊어봐,3,SDRW2100001599.1.1.59,2021,SDRW2100001599,SDRW2100001599.1,SD2101599,무슨 얘기했는지 읊어봐.,무슨 얘기했는지 일퍼봐.,90.526,92.56,발화겹침,무슨 얘기했는지 읊어봐.,무슨 얘기핸는지 을퍼봐,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2021\SDRW2100001599.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2021_v1.1\NIKL_DIALOGUE_2021_v1.1\SDRW2100001599.json,무슨 얘기했는지 읊어봐.,무슨 얘기했는지 일퍼봐.,SDRW2100001599.1,SD2101599,90.526,92.56,발화겹침,exact
읊어야,4,SDRW2100001722.1.1.56,2021,SDRW2100001722,SDRW2100001722.1,SD2101678,차 모이면서 그거를 읊어야 된다는 거야.,차 모이면서 그거를 읊어야 된다는 거야.,139.38634,142.59092,,차 모이면서 그거를 읊어야 된다는 거야.,차 모이면서 그거를 을퍼야 된다는 거야,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2021\SDRW2100001722.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2021_v1.1\NIKL_DIALOGUE_2021_v1.1\SDRW2100001722.json,차 모이면서 그거를 읊어야 된다는 거야.,차 모이면서 그거를 읊어야 된다는 거야.,SDRW2100001722.1,SD2101678,139.38634,142.59092,,exact
읊을,8,SDRW2100002577.1.1.124,2021,SDRW2100002577,SDRW2100002577.1,SD2101374,다 가사 얘기하면 그 다음 사 가사 읊을 수 있을 정도로 막 얘기를 많이 했던 것 같아.,다 가사 얘기하면 그 다음 사 가사 읊을 수 있을 정도로 막 얘기를 많이 했던 거 같아.,404.77,409.35,,다 가사 얘기하면 그 다음 사 가사 읊을 수 있을 정도로 막 얘기를 많이 했던 것 같아.,다 가사 얘기하면 그 다음 사 가사 을플 수 이쓸 정도로 막 얘기를 마니 핻떤 걷 가타,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2021\SDRW2100002577.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2021_v1.1\NIKL_DIALOGUE_2021_v1.1\SDRW2100002577.json,다 가사 얘기하면 그 다음 사 가사 읊을 수 있을 정도로 막 얘기를 많이 했던 것 같아.,다 가사 얘기하면 그 다음 사 가사 읊을 수 있을 정도로 막 얘기를 많이 했던 거 같아.,SDRW2100002577.1,SD2101374,404.77,409.35,,exact
읊는다는,4,SDRW2100004088.1.1.138,2021,SDRW2100004088,SDRW2100004088.1,SD2103155,뭐 풍 풍월을 읊는다는 그런,뭐 풍 풍월을 읊는다는 그런,380.57,383.459,,뭐 풍 풍월을 읊는다는 그런,뭐 풍 풍워를 음는다는 그런,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2021\SDRW2100004088.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2021_v1.1\NIKL_DIALOGUE_2021_v1.1\SDRW2100004088.json,뭐 풍 풍월을 읊는다는 그런,뭐 풍 풍월을 읊는다는 그런,SDRW2100004088.1,SD2103155,380.57,383.459,,exact
읊는,1,SDRW2200001192.1.1.182,2022,SDRW2200001192,SDRW2200001192.1,SD2211259,읊는 게 아니라 그냥,읊는 게 아니라 그냥,364.67,365.77249,,읊는 게 아니라 그냥,음는 게 아니라 그냥,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2022\SDRW2200001192.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2022_v1.0_JSON\NIKL_DIALOGUE_2022_v1.0\SDRW2200001192.json,읊는 게 아니라 그냥,읊는 게 아니라 그냥,SDRW2200001192.1,SD2211259,364.67,365.77249,,exact
읊고,4,SDRW2300000205.1.1.80,2023,SDRW2300000205,SDRW2300000205.1,SD2300199,막 특징을 다 읊고 그러는데 전 딱 제 것만 알아 가지고,막 특징을 다 읊고 그러는데 전 딱 제 것만 알아 가지고,238.06582,242.05082,,막 특징을 다 읊고 그러는데 전 딱 제 것만 알아 가지고,막 특찡을 다 읍꼬 그러는데 전 딱 제 건만 아라 가지고,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300000205.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300000205.json,막 특징을 다 읊고 그러는데 전 딱 제 것만 알아 가지고,막 특징을 다 읊고 그러는데 전 딱 제 것만 알아 가지고,SDRW2300000205.1,SD2300199,238.06582,242.05082,,exact
읊으시기도,13,SDRW2300000212.1.1.283,2023,SDRW2300000212,SDRW2300000212.1,SD2300191,뭐 초반 뭐 이렇게 시작하기 전에 뭐 아버님께서 뭘 이렇게 부르시면서 이렇게 읊으시기도 하고,뭐~ 초반 뭐~ 이렇게 시작하기 전에 뭐~ 아버님께서 뭘 이렇게 불르시면서 이렇게 읊으시기도 하고,881.44448,886.89104,,뭐 초반 뭐 이렇게 시작하기 전에 뭐 아버님께서 뭘 이렇게 부르시면서 이렇게 읊으시기도 하고,뭐 초반 뭐 이러케 시자카기 저네 뭐 아버님께서 뭘 이러케 부르시면서 이러케 을프시기도 하고,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300000212.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300000212.json,뭐 초반 뭐 이렇게 시작하기 전에 뭐 아버님께서 뭘 이렇게 부르시면서 이렇게 읊으시기도 하고,뭐~ 초반 뭐~ 이렇게 시작하기 전에 뭐~ 아버님께서 뭘 이렇게 불르시면서 이렇게 읊으시기도 하고,SDRW2300000212.1,SD2300191,881.44448,886.89104,,exact
