trace_id,domain,user_decision,decision_source,claimed_status,implementation_evidence,test_or_manifest_evidence,actual_status,gap,severity,next_action
T01,alignment_scope,"2020-2025 여섯 연도 전부 공통 Jamo r2 기준으로 신규 MFA 정렬","docs/decisions/DECISION_r2_realign_all_six_years_20260729.md","확정, 전수는 미시작","run_eojeol_realign.ps1:98-107 r2 manifest 필수·legacy 실행 거부; run_pre_mfa_bulk_safe.ps1:55-64 동일 gate; adoption v3 allow_yearly_mfa=true","D: adoption_contract.json status=passed; D:\mfa_eojeol\year_queue 부재(전수 미시작 실측 일치)",fully_applied,"전수 실행만 남음(의도된 상태)",low,"승인 제외 계약 후 연도 큐 시작"
T02,legacy_reuse,"구 2020/2021 정렬 결과를 전수 검토·재사용하지 않음","DECISION_r2_realign_all_six_years_20260729.md; DECISION_pre_MFA_combination_search_v3_20260801.md","반영","legacy align/merge marker 4개를 archive_stale로 격리; 중단된 2020 구정렬 검토 큐(mfa_exclusions_queue_...)를 재개하지 않음","outputs/reports/ARCHIVE_legacy_mfa_markers_for_r2_20260730.json",fully_applied,"없음",low,"없음"
T03,common_criterion,"공통 acoustic v3.3.0·Jamo G2P v3.2.0·공통사전 r2·phone inventory 동결","docs/environment/PROJECT_CURRENT_STATE.md 확정 기준; DECISION_latest_jamo_common_pron_mfa_20260728.md","완료","validate_mfa_r2_adoption.py가 연도 실행 직전 실물 SHA 재대조; preflight_mfa_year_queue.ps1에 결합","PREFLIGHT_mfa_adoption_mfa_r2_full6y_20260801.json status=passed; 사전 SHA 24c40660... 실물 일치",fully_applied,"없음",low,"없음"
T04,six_tier_contract,"기본 6-tier(words/phones_mfa/phoneme_r_auto/utterance/utterance_orth_r/morph_analysis_utt)와 전 tier 0-xmax 연속","PROPOSAL_full_production_TextGrid_CSV_contract_20260801.md §3","승인·배선 완료","research_textgrid_v2.py:26-33 BASE_TIERS; run_eojeol_realign.ps1:2379-2385 tier명 하드 gate(불일치 시 throw); audit_mfa_research_6tier_year.py 독립 감사","EVIDENCE_research_6tier_post_review_20260801.json: 60/60, gzip 24/24 SHA 일치",fully_applied,"실물은 60발화·mini pilot뿐, 전수 실증은 2020 첫 연도에서",low,"2020 전수에서 연도 감사로 실증"
T05,morph_span,"형태소를 임의 시간분할하지 않고 발화 전체-span으로 표시","PROPOSAL_full_production §3; G-TIER-01 결정","반영","morph_analysis_utt가 utterance와 동일 word-derived span 사용; 형태소 시간경계 미주장","outputs/textgrid_6tier_mini_pilot_20260801/PILOT_VERIFICATION.json status=success",fully_applied,"없음",low,"없음"
T06,combo_search,"형태소·철자 Roman·위치/경계·기호 조합검색 표(morph_search.v3 7표)","DECISION_pre_MFA_combination_search_v3_20260801.md","60발화 회귀 통과, 2020 shard 1/23 성공 정지","build_morph_search_year_sharded.py 7표·좌표계 분리(orth_eojeol_idx/eojeol_idx/reference_eojeol_idx)·shard SHA 재검증·원자 승격","EVIDENCE_morph_search_v3_regression_60: 42/42 gzip SHA 일치; PREFLIGHT shard1 41,803발화; D: YEAR_PROGRESS.json 1/23·lock 없음",partially_applied,"2020 shard 2-23 미실행; 2021-2025 미생성; 연도 정본 승격 전",medium,"같은 명령 재실행으로 shard 2-23 재개(약 1시간 추정)"
T07,symbol_policy,"숫자·기호는 원 전사 근거 있을 때만 선택값, 근거 없으면 후보만(자동 확정 금지)","DECISION_pre_MFA_combination_search_v3 숫자·기호 정책","반영","symbol_readings 표: reference_reading과 reading_candidates_json 분리; LAB 자동 주입 없음","회귀: 기호 26 occurrence 전수 수록; 2사람이→두 사람이 근거 복원 검증",fully_applied,"없음",low,"없음"
T08,dialogue_meta,"dialogue/co-speaker metadata를 검색층에 포함","DESIGN_search_master_layer.md; PROPOSAL_full_production §4","반영","build_search_master.py가 document별 전체·공동 참여 화자 ID 포함; utterance_alignment.csv.gz에 화자/대화 열","pre-MFA search master _build_meta.json success(5,103,356발화·17,156세션)",fully_applied,"최종 joined view에는 미결합(T09와 동일 원인)",low,"Stage 5 최종 검색층에서 join"
T09,final_join_view,"pre-MFA 7표+post-MFA 4표를 묶는 최종 검색 Parquet/DuckDB view","PROPOSAL_prebulk_execution_order §4 후속 과제로 명시","미연결로 정직 기록됨","코드 부재: scripts 전체에 duckdb 0건; build_search_parquet.py 미작성(SCRIPTS_INDEX:159); build_research_companion_parquet.py는 post-MFA 4표 단독 미러","SCRIPTS_INDEX.md:159 '미작성' 자기 기록",not_applied,"MFA를 막지 않음(정렬 후 재생성 가능 레이어)",medium,"6개년 정렬 후 Stage 5에서 신규 작성; 지금은 착수 금지"
T10,urimalsaem_1n,"우리말샘 복수 센스·발음을 1:N 보조표로 분리 연결(단일값 축약 금지)","PROPOSAL_full_production §9-4","정책 확정·연결은 어휘부 자료 회수 뒤","검색층 연결 코드 부재(urimal/pron_1/pron_2 grep: 공통사전 구축·감사 계열만); r2 생산 사전은 우리말샘 변이 배제 명시(run_common_pron_mfa_r2.ps1:15)","config/research_companion_tables_schema_v2.json에 sense/urimal 필드 없음",not_applied,"reference 어휘부 4종이 구 HDD 유일본(미이전)이라 물리적 선행조건 존재",medium,"HDD reference 회수 후 Stage 5에서 1:N 후보표 설계"
T11,phoneme_r_auto,"phones_mfa만의 broad Roman 보조층(기저형 역복원 금지)","DECISION_auto_phoneme_roman_aux_layer_20260731.md; 6-tier 확정","CURRENT_STATE는 '로마자 음소층의 연도 runner 배선은 아직'이라 기록","실제로는 배선 완료: BASE_TIERS 포함(research_textgrid_v2.py:26-33), runner tier gate(run_eojeol_realign.ps1:2379), phone 동반표 열 phoneme_r_auto(export_mfa_db_research_6tier.py:171)","EVIDENCE_research_6tier_post_review 60/60 통과",fully_applied,"문서가 코드보다 낡음(진행을 과소 기록)",low,"PROJECT_CURRENT_STATE 갱신(본 리뷰 초안 참조)"
T12,koina_selective,"KOINA/이어붙이기/wav2vec2는 선별 후보 전용·기존 MFA 값 비덮어쓰기·seam 횡단 해석 금지","WORK_HISTORY_2026-08 8/1 결정; PROPOSAL_full_production §2","반영(파일럿 수준)","research_textgrid_v2.py:626,718 koina_cross_seam_allowed=False 하드코딩; verify_textgrid_v2_mini_pilot.py:102 강제; koina_*_auto 분리 설계","mini pilot PILOT_VERIFICATION success",partially_applied,"wav2vec2는 NOTE 문서만 존재·코드 없음(의도된 후속 단계)",low,"Stage 6에서 구현; 지금은 착수 금지"
T13,checkpoint_no_clean,"연도/shard/DB checkpoint 재개·자동 full-clean 금지","DECISION_incremental_unattended_year_MFA_20260801.md","반영","run_mfa_year_queue_safe.ps1:257 '의도적으로 -AllowFullCleanRetry를 전달하지 않는다' 주석+파라미터 부재; direct_db_ready marker; morph search shard 재개","preflight NO_GO 보고서에 no_automatic_full_clean_retry 기록; shard1 재개 계약 실증",fully_applied,"없음",low,"없음"
T14,exclusion_contract,"승인 제외 계약(H-02): 자동 승인 금지·목록 밖 무명 손실 1건도 불허","RESOLUTION_external_review_full_production_TextGrid_CSV_20260801.md H-02","완료","4중 방어: 큐(:231-239 계약 없으면 연도 skip)·bulk wrapper(:66-74 exit 1)·realign runner(:108-118 0건도 명시 계약 요구)·mfa_exclusion_contract.py:68-70 pending 행 build 실패; start_full_mfa_after_review.ps1:84-86 automatic_approval_performed=true면 throw","Python 287/287; 격리 회귀(승인 없는 quarantine 차단) 통과",fully_applied,"연구자 승인 행위만 남음(기계로 대체 불가·의도)",low,"연구자가 pending 후보 검토·승인"
T15,year_qc_gate,"6-tier 연도 전수 QC·DB 표본 재수출·다음 연도 gate(H-01)","RESOLUTION_external_review_full_production H-01","완료","audit_mfa_research_6tier_year.py(스트리밍)·verify_mfa_db_research_6tier_sample.py·preflight_next_year_after_research_qc.py; 큐가 성공 연도에 자동 수행","합성 full-year fixture 통과; 실물 연도는 아직 없음",fully_applied,"실물 연도 검증은 2020 완료 후 최초 발생",low,"2020에서 실증"
T16,runner_linkage,"morph_search.v3 연도 manifest를 MFA 시작 gate로 할지 여부","PROPOSAL_prebulk_execution_order §4-1(미확정으로 외부 리뷰에 위임)","미확정","코드 상호 참조 0건(양방향 grep): MFA 큐에 morph_search 참조 없음, morph runner는 search master _build_meta만 확인",—,not_applied,"결정 자체가 본 리뷰에 위임된 상태였음",medium,"권고: YEAR_MANIFEST를 hard gate로 하지 말고 preflight에 동일 동결 source(_build_meta SHA) 확인만 추가; 2020은 운영 순서로 검색표 선완료"
T17,stale_scripts_index,"alignment_contract_id의 runner 배선","scripts/SCRIPTS_INDEX.md:114","'2022 runner 배선 대기'","실제 배선 완료: run_eojeol_realign.ps1:1543 연도 루프 무조건 실행·:1555-1563 불일치 exit 1; 연도 큐도 소비(run_mfa_year_queue_safe.ps1:277-301)","코드 실물로 확인",superseded,"색인 문서가 낡음(진행을 과소 기록)",low,"SCRIPTS_INDEX 해당 행 갱신"
T18,mixed_roman,"혼합 표기 어절의 ∅ 소실 해결: form_roman_v2/⟨literal⟩ 보존(M-08)","RESOLUTION_external_review_full_production M-08","완료","legacy form_roman 보존+form_roman_v2/orth_roman_v2; utterance_orth_r만 의도 변경","60발화 회귀: 혼합 표기 2건만 의도적 변경·다른 tier 불일치 0",fully_applied,"없음",low,"없음"
