review_order,year,utt_id,session_id,duration_sec,num_frames,normalized_text,job_id,ignored_by_mfa,word_interval_present,phone_interval_present,alignment_log_likelihood,reason_code,recommended_scope,evidence
1,2025,SARW2500000012.1.1.97,SARW2500000012,3.207813,321,그러니까 쉽게 말해서 약간 임시 열쇠 같은 거 임시 카드 키 같은 걸 줘 가지고,1,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
2,2025,SARW2500000015.1.1.18,SARW2500000015,6.853313,685,빛이 물체에 닿으면 빛은 물체에 흡수되거나 부딪혀 반사되거나 뚫고 투과하는 세 가지에 반응을 보입니다,3,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
3,2025,SARW2500000024.1.1.91,SARW2500000024,4.431375,443,당면이 처음에 뜨거운 물에 넣어 놨기 때문에 자 어느 정도 불어 있어요,3,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
4,2025,SARW2500000024.1.1.92,SARW2500000024,3.559125,356,물기를 머금고 있기 때문에 당면이 부드러워질 겁니다,3,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
5,2025,SARW2500000058.1.1.55,SARW2500000058,3.889937,389,기존 강과 이 폭포를 연결하는 게 자연스러울 것 같네요,2,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
6,2025,SARW2500000058.1.1.78,SARW2500000058,3.510937,351,그래서 느낌으로 먼저 자리를 잡아 주는 게 좋아요,2,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
7,2025,SARW2500000083.1.1.79,SARW2500000083,4.128438,413,바닐라아이스크림을 먹다 보니까 갑자기 떠오른 메뉴가 하나 있습니다,4,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
8,2025,SARW2500000086.1.1.33,SARW2500000086,8.429937,843,네 여러분 물론 이게 지금 한 번 실험을 한 거다 보니까 확정 짓기는 어렵지만 지금 실험한 결과와 이론을 토대로 좀 간단하게 설명을 드려 볼게요,2,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
9,2025,SARW2500000130.1.1.28,SARW2500000130,3.316688,332,아 왜 너랑 잘 어울리는데 둘이 사귀어 봐 막 이런 식으로,3,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
10,2025,SARW2500000136.1.1.101,SARW2500000136,1.85275,185,그럼 한 이십 분 정도 될 거예요,4,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
11,2025,SARW2500000136.1.1.160,SARW2500000136,2.559,256,처음에는 특정된 단어를 따라 하실 필요 없어요,4,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
12,2025,SARW2500000170.1.1.209,SARW2500000170,9.574625,957,그리고 무엇보다도 손흥민 선수가 올 시즌 엄청난 활약을 펼쳐서 토트넘이든 다른 팀이든 무슨 협상을 하든 항상 갑의 위치에 섰으면 좋겠습니다,2,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
13,2025,SARW2500000222.1.1.10,SARW2500000222,1.217812,122,귀여워,1,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
14,2025,SARW2500000222.1.1.71,SARW2500000222,1.762625,176,꿀떡아 엄마 간다,1,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
15,2025,SARW2500000222.1.1.74,SARW2500000222,3.993875,399,아고 신나네 신나 어이 귀여워,1,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
16,2025,SARW2500000222.1.1.9,SARW2500000222,2.8485,285,내가 제일 오빠라고 해,1,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
17,2025,SARW2500000273.1.1.114,SARW2500000273,2.304375,230,수능 개념 여기서 마치겠습니다,3,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
18,2025,SARW2500000275.1.1.172,SARW2500000275,2.243375,224,이 팔 차 개헌 이거 지키겠다는 거예요,2,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
19,2025,SARW2500000330.1.1.136,SARW2500000330,3.209875,321,그래서 저는 서점에 가서 쪼그려 앉아 가지고 봤습니다,4,False,False,False,,mfa_alignment_missing,alignment_and_analysis,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\markers\ALIGN_DONE_2025.json
