projection_status,diagnostic_layer,diagnostic_class,edit_signature,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,example_targets_json
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:JJ>D,485,552,223131,23083,56219,35453,27025,41286,40065,"[""읻꼬"", ""읻짜나"", ""읻따"", ""읻끼"", ""읻쏙""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:NG>N,8962,8985,99395,12554,21600,14445,13385,17854,19557,"[""인가니"", ""뜬그멉씨"", ""한순가네"", ""싱무린간"", ""부란감""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:G,2287,2308,54907,6119,11219,8933,7803,9811,11022,"[""적끔"", ""죽꼬"", ""적꼬"", ""작꼬"", ""박꼬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y,2500,2508,50035,6710,8305,5804,7682,9266,12268,"[""펴닌"", ""펴니"", ""국까대표"", ""펴닙"", ""편집또""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:CH;SUB:J>W,1424,1424,33516,3518,7287,5044,4436,6806,6425,"[""취해써"", ""취업삐자"", ""최그네"", ""최그네는"", ""취어블""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>G;RULE_ONLY:Y,571,571,32360,4713,8035,5421,3891,5469,4831,"[""학꾜"", ""서울대학꾜"", ""강원대학꾜"", ""부산대학꾜"", ""충남대학꾜""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:J>D,752,802,26003,2555,6587,4245,2903,5378,4335,"[""맏꼬"", ""맏찝"", ""맏따"", ""맏쌀"", ""맏썬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:G;RULE_ONLY:Y,684,685,23808,3914,4527,3820,2635,5553,3359,"[""고등학꾜"", ""중학꾜"", ""초등학꾜"", ""중고등학꾜"", ""학꾜의""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:M>N,1879,1881,17522,2717,3010,2216,2837,2785,3957,"[""신바리"", ""아랜비"", ""번버니"", ""신바릐"", ""전복쭉""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:M>B,612,616,16944,2106,3884,2800,2855,2616,2683,"[""십꼬"", ""입꼬"", ""잡꼬"", ""입끼"", ""입꾸""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:NG>G,1492,1501,14692,1952,2745,2145,2244,2922,2684,"[""학끼"", ""역싸"", ""악끼"", ""죽끼"", ""역싸가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:JJ>D;RULE_ONLY:Y,63,66,10653,1761,1380,1156,1672,1747,2937,"[""읻꺼드뇨"", ""읻따면"", ""읻따며는"", ""읻껟쬬"", ""읻따며""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:L;SUB:N>Y,1026,1027,7139,611,1986,844,857,1515,1326,"[""시룡"", ""바렬"", ""이룡"", ""커프룡"", ""능려기""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:Y,844,854,6667,890,1367,1186,826,1402,996,"[""액쎤"", ""이뱡"", ""캡쓜"", ""옵쎤"", ""업꼐""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:K;SUB:G>W,915,915,5745,614,1259,836,632,1123,1281,"[""배콰점"", ""유쾨"", ""스콷"", ""노콰"", ""구쾨""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:D;SUB:J>CH;SUB:J>W,119,120,5432,470,1405,948,629,1030,950,"[""맏춰서"", ""맏춰"", ""맏춰가는"", ""맏춰진"", ""맏춰가지고""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;RULE_ONLY:Y,654,654,4466,641,843,579,630,737,1036,"[""사너평명"", ""펴뉵"", ""평규닌"", ""편혀파다"", ""평생교육싸""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:E>AE;RULE_ONLY:Y;RULE_ONLY:H;RULE_ONLY:Y,2,2,3597,122,933,608,386,862,686,"[""왜냐하며는"", ""왜냐하며니""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>G;RULE_ONLY:W,519,519,3514,458,764,534,613,579,566,"[""학꽈"", ""학쌩회"", ""간호학꽈"", ""악꽈"", ""식쌩활""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:T;SUB:D>Y,499,509,3489,307,698,468,475,664,877,"[""꼬턍기"", ""마텽"", ""부텨"", ""가텨"", ""부텨서""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;RULE_ONLY:L,208,209,3228,63,965,440,216,739,805,"[""펼리하다"", ""펼리"", ""펼람"", ""펼리한"", ""펼리하게""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;SUB:E>AE;SUB:NG>N,82,83,3142,264,788,671,409,569,441,"[""괜찬코"", ""괜찬케"", ""괜찬켇따"", ""괜찬켇찌"", ""괜찬커든""]"
