current_path,classification,canonical_or_superseded_by,proposed_path,reason,link_or_code_risk,recommended_action
docs/ASSETS_LEDGER.md,canonical_active,—,"(유지)","자산 위치 정본. 단 최종 실측 7/24로 낡음 — HDD reference 회수 전 갱신 필요","코드1(recover_reference_from_hdd.ps1)·CLAUDE.md·docs5",keep_update_content
docs/DATA_LAYOUT.md,canonical_active,—,"(유지)","좌표계(연도/세션 규약) 정본, 코드가 진실 원천으로 지목","코드2(fetch_audio_for_search.py, locate_utt.py)",keep
docs/PROJECT_SUMMARY.md,canonical_active,—,"(유지)","연구 개요 1페이지 정본","CLAUDE.md·README",keep
docs/README.md,canonical_active,—,"(유지)","문서 색인 정본. 단 내부 라벨 다수 구식(r1을 실행 정본 표기 등) — 본 리뷰 분류 반영 갱신","CLAUDE.md·README·docs7",keep_update_content
docs/SETUP_다른기기_작업가이드.md,canonical_active,—,"(유지)","기기 간 git 동기화 가이드 현행 유효",docs1,keep
docs/자료구축_코드해설.md,canonical_active,—,"(유지)","A단계 코드 해설 정본","SCRIPTS_INDEX·CLAUDE.md",keep
docs/WORK_HISTORY_2026-07.md,supporting_evidence,—,"(유지)","7월 이력 마감분",CLAUDE.md,keep
docs/WORK_HISTORY_2026-08.md,supporting_evidence,—,"(유지)","8월 이력 진행 중",docs1,keep
docs/WORKLOG_infrastructure_audit_2026-07-24.md,historical_valid,—,"(유지+헤더)","7/24 감사 작업일지",docs1,add_status_header
docs/TODO_A단계.md,superseded,docs/environment/PROJECT_CURRENT_STATE.md,docs/archive/TODO_A단계_20260723_frozen.md,"7/23 동결·r2/6-tier/v3 미반영. ★CLAUDE.md가 아직 정본 지정","CLAUDE.md 링크 — 선수정 필수·docs7",archive_move_after_link_fix
docs/WORKFLOW.md,superseded,PROJECT_CURRENT_STATE.md+PROPOSAL 2종,docs/archive/WORKFLOW_v2_20260709.md,"7/09 v2. 레이어 경로·상태표 구식","CLAUDE.md 링크 — 선수정 필수",archive_move_after_link_fix
docs/HANDOFF_pilot_search_master.md,superseded,DECISION_pre_MFA_combination_search_v3_20260801.md,docs/archive/,"v1 파일럿 세션 시작 문서. ★CLAUDE.md가 '새 세션 시작점'으로 지시 중 — 오도 위험 높음","CLAUDE.md 링크 — 선수정 필수",archive_move_after_link_fix
docs/HANDOFF_search_master_session2.md,superseded,동일,docs/archive/,"v1 전량 대기 시점 핸드오프",docs2,archive_move
docs/GUIDE_실행순서_제3자용.md,superseded,PROPOSAL_prebulk_execution_order_20260801.md,docs/archive/,"v1 search master 감사 절차 — 경로 자체 대체됨",docs1,archive_move
docs/decisions/000_project_folder_structure.md,superseded,archive/HANDOFF_2026-07-09.md 기록,"(유지+헤더)","Dropbox 루트 시절 결정",docs1,add_status_header
docs/decisions/ANALYSIS_runtime_pre_hardening_vs_current_20260727.md,failed_diagnostic,—,"(유지+헤더)","거짓 성공 원인 규명 기록 — 실패 증거 보존",docs2,add_status_header
docs/decisions/AUDIT_2020_2021_MFA_comparison_and_2022_gate_20260728.md,historical_valid,DECISION_r2_realign_all_six_years_20260729.md,"(유지+헤더)","구 baseline 감사 — 전환 감사 증거로 존치",docs7,add_status_header
docs/decisions/AUDIT_2020_pre_mfa_full_pipeline_2026-07-26.md,historical_valid,DECISION_pre_MFA_combination_search_v3_20260801.md,"(유지+헤더)","구 2020 정렬 완료 감사 — 구 정렬 비재사용",docs4,add_status_header
docs/decisions/AUDIT_pre_bulk_MFA_CSV_2026-07-24.md,historical_valid,—,"(유지+헤더)","실패 이력 27건 — 안전설계의 역사 근거",docs5,add_status_header
docs/decisions/AUDIT_remaining_MFA_years_and_direct_DB_export_2026-07-26.md,historical_valid,r2 전면 재정렬 결정,"(유지+헤더)","구 pre_mfa_v1 기반 2021 GO 감사",docs6,add_status_header
docs/decisions/DECISION_auto_phoneme_roman_aux_layer_20260731.md,canonical_active,—,"(유지)","phoneme_r_auto 정의 정본(대체 범위 자체 구분)",docs3,keep
docs/decisions/DECISION_bareun_engine_provenance_20260801.md,canonical_active,—,"(유지)","바른 provenance 한계 기술 결정",docs1,keep
docs/decisions/DECISION_common_pron_G2P_no_path_fallback_20260728.md,canonical_active,—,"(유지)","r2 no-path 보완 계약 현행",docs2,keep
docs/decisions/DECISION_common_pronunciation_resource_v2_20260728.md,supporting_evidence,DECISION_latest_jamo_common_pron_mfa_20260728.md,"(유지)","r2 사전 결정의 설계 기반",docs4,keep
docs/decisions/DECISION_compressed_external_archive_20260728.md,canonical_active,—,"(유지)","현행 E: 압축 archive 정책",없음,keep
docs/decisions/DECISION_incremental_unattended_year_MFA_20260801.md,canonical_active,—,"(유지)","무인 연도 큐 결정",docs3,keep
docs/decisions/DECISION_latest_jamo_common_pron_mfa_20260728.md,canonical_active,—,"(유지)","r2 모델 묶음 동결 정본",docs1,keep
docs/decisions/DECISION_mfa_r2_infrastructure_acceptance_pilot_20260730.md,historical_valid,PROPOSAL_full_production_TextGrid_CSV_contract_20260801.md,"(유지+헤더)","r2 4-tier 수용 파일럿 — 단계 종료·6-tier로 대체",docs2,add_status_header
docs/decisions/DECISION_mfa_r2_review_global_issues_20260730.md,supporting_evidence,—,"(유지)","G-TIER-01/G-CSV-01 발견 기록 — 6-tier 재설계 직접 근거",docs8,keep
