review_order,sample_role,utt_id,expected_text,current_mfa_status,review_question,wav_file,lab_file,search_csv_file,context_file,current_mfa_textgrid,source_wav_duration_seconds,review_wav_duration_seconds,review_edge_padding_seconds,review_time_to_source,decision,notes
1,dominant_session_missing,SDRW2000000257.1.1.100,과는 경영과에 지금 속해 있는데,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),01__SDRW2000000257.1.1.100.wav,01__SDRW2000000257.1.1.100.lab,01__SDRW2000000257.1.1.100__SEARCH.csv,01__SDRW2000000257.1.1.100__CONTEXT.txt,,2.679000,2.779000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
2,dominant_session_missing,SDRW2000000257.1.1.231,그 학원에서,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),02__SDRW2000000257.1.1.231.wav,02__SDRW2000000257.1.1.231.lab,02__SDRW2000000257.1.1.231__SEARCH.csv,02__SDRW2000000257.1.1.231__CONTEXT.txt,,1.350000,1.450000,0.050000,source_time=review_time-0.050000,exclude_audio_unusable,연구자 청취: 소리 안 들림; 정렬·분석 제외
3,dominant_session_missing,SDRW2000000257.1.1.39,지금 다니고 있는 학교의 선생님들은 어떠신가요,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),03__SDRW2000000257.1.1.39.wav,03__SDRW2000000257.1.1.39.lab,03__SDRW2000000257.1.1.39__SEARCH.csv,03__SDRW2000000257.1.1.39__CONTEXT.txt,,4.210000,4.310000,0.050000,source_time=review_time-0.050000,exclude_audio_unusable,연구자 청취: 소리 안 들림; 정렬·분석 제외
4,dominant_session_missing,SDRW2000000257.1.1.97,질문 드리겠습니다,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),04__SDRW2000000257.1.1.97.wav,04__SDRW2000000257.1.1.97.lab,04__SDRW2000000257.1.1.97__SEARCH.csv,04__SDRW2000000257.1.1.97__CONTEXT.txt,,1.770000,1.870000,0.050000,source_time=review_time-0.050000,exclude_audio_unusable,연구자 청취: 소리 안 들림; 정렬·분석 제외
5,other_cluster_missing,SDRW2000000514.1.1.169,이제 집안이 조금 딸이 잘 안 태어나는 집안이라서 엄청 사랑을 받았는데,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),05__SDRW2000000514.1.1.169.wav,05__SDRW2000000514.1.1.169.lab,05__SDRW2000000514.1.1.169__SEARCH.csv,05__SDRW2000000514.1.1.169__CONTEXT.txt,,4.479000,4.579000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
6,other_cluster_missing,SDRW2000002165.1.1.139,내가 팝콘 쪼끄만 거,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),06__SDRW2000002165.1.1.139.wav,06__SDRW2000002165.1.1.139.lab,06__SDRW2000002165.1.1.139__SEARCH.csv,06__SDRW2000002165.1.1.139__CONTEXT.txt,,1.571000,1.671000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
7,other_cluster_missing,SDRW2000002164.1.1.123,카레 볶음밥을 많이 해보지 않아서,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),07__SDRW2000002164.1.1.123.wav,07__SDRW2000002164.1.1.123.lab,07__SDRW2000002164.1.1.123__SEARCH.csv,07__SDRW2000002164.1.1.123__CONTEXT.txt,,2.484000,2.584000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
8,other_cluster_missing,SDRW2000002210.1.1.101,근데 테마가 한 여섯 개인가 일곱 개가 있었거든요,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),08__SDRW2000002210.1.1.101.wav,08__SDRW2000002210.1.1.101.lab,08__SDRW2000002210.1.1.101__SEARCH.csv,08__SDRW2000002210.1.1.101__CONTEXT.txt,,3.009000,3.109000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
9,distributed_missing,SDRW2000000219.1.1.112,제가 하고 싶은 만약에 공무원이 돼서,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),09__SDRW2000000219.1.1.112.wav,09__SDRW2000000219.1.1.112.lab,09__SDRW2000000219.1.1.112__SEARCH.csv,09__SDRW2000000219.1.1.112__CONTEXT.txt,,2.649000,2.749000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
10,distributed_missing,SDRW2000000181.1.1.179,좋을 거라고 생각 들어요 네,missing_word_or_phone_intervals,WAV·LAB·CSV가 같은 발화인가? (TextGrid 없음은 현재 실패 상태),10__SDRW2000000181.1.1.179.wav,10__SDRW2000000181.1.1.179.lab,10__SDRW2000000181.1.1.179__SEARCH.csv,10__SDRW2000000181.1.1.179__CONTEXT.txt,,2.707000,2.807000,0.050000,source_time=review_time-0.050000,match,사용자 청취 확인 완료
