year,utt_id,session_id,base_primary_status,base_status_family,base_reason_codes_json,recovery_status,recovery_family,recovery_visibility,recovery_outcome_source,recovery_evidence_path,recovery_evidence_sha256,active_annotation_source,active_annotation_revision,active_textgrid_path,active_textgrid_sha256,active_transcript,active_orth_roman_v2,manual_edit_count,annotation_resolution_status,phone_layer_status,phoneme_layer_status,morph_enrichment_status
2020,SDRW2000000057.1.1.70,SDRW2000000057,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_noise_diagnostic_preserved,technical_exclusion,diagnostic_only,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\01_2020_SDRW2000000057.1.1.70.TextGrid,07449e1740aa6f89b2edc8ad08a4f162574f5b19404ccadcb219540beb128906,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2020,SDRW2000000109.1.1.149,SDRW2000000109,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_noise_diagnostic_preserved,technical_exclusion,diagnostic_only,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\02_2020_SDRW2000000109.1.1.149.TextGrid,6f7d02fbb81f56aeb5c261ac3f7df3ad4d400938af4a2e90743872b8c3caf007,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2020,SDRW2000000115.1.1.149,SDRW2000000115,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\01_2020_SDRW2000000115.1.1.149.manual_overlay.TextGrid,deb1b2c7df98e76b7857e684eed31982ab8ec77b808212a3de6d486664811dd4,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\01_2020_SDRW2000000115.1.1.149.manual_overlay.TextGrid,deb1b2c7df98e76b7857e684eed31982ab8ec77b808212a3de6d486664811dd4,영화 잘,YEO ng _ H WA | J A l,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2020,SDRW2000000120.1.1.296,SDRW2000000120,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_noise_diagnostic_preserved,technical_exclusion,diagnostic_only,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\03_2020_SDRW2000000120.1.1.296.TextGrid,7fa1682d503bc85b39ce7e6ff9bcdad72b6e2f062d667a94dd4d364fc3ee9388,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2020,SDRW2000000180.1.1.67,SDRW2000000180,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\02_2020_SDRW2000000180.1.1.67.manual_overlay.TextGrid,a544c56343cb5c42ce0583fe91ee5c0fe785bfe34aa43158c2fa9167d4428945,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\02_2020_SDRW2000000180.1.1.67.manual_overlay.TextGrid,a544c56343cb5c42ce0583fe91ee5c0fe785bfe34aa43158c2fa9167d4428945,학 상자를 날라야 되니까는,H A k | S A ng _ J A _ R EU l | N A l _ R A _ YA | D OE _ N I _ KK A _ N EU n,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2021,SDRW2100000001.1.1.131,SDRW2100000001,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\03_2021_SDRW2100000001.1.1.131.manual_overlay.TextGrid,fba556dcd7eeed522721f20f642f9af32a7d3dc1c0fa1af7c4df02f11bf3c6fe,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\03_2021_SDRW2100000001.1.1.131.manual_overlay.TextGrid,fba556dcd7eeed522721f20f642f9af32a7d3dc1c0fa1af7c4df02f11bf3c6fe,그,G EU,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2021,SDRW2100000023.1.1.432,SDRW2100000023,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\04_2021_SDRW2100000023.1.1.432.manual_overlay.TextGrid,6f1a566466ce4c38c84b2ad79f48484194766c1eab1001fb4e3e99fba789f350,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\04_2021_SDRW2100000023.1.1.432.manual_overlay.TextGrid,6f1a566466ce4c38c84b2ad79f48484194766c1eab1001fb4e3e99fba789f350,아빠가 계속 나와서 연기를,A _ PP A _ G A | G YE _ S O k | N A _ WA _ S EO | YEO n _ G I _ R EU l,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2021,SDRW2100000024.1.1.152,SDRW2100000024,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000024\SDRW2100000024.1.1.152.wav,518cf570dc730af1ffcea89d9bb72ea7195aa0baa18607fb9890a0c15c1b1bd8,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100000024.1.1.234,SDRW2100000024,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",unresolved_technical_exclusion_audio_or_overlap,technical_exclusion,ledger_only,D9,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d9_review_19_20260817\05_2021_SDRW2100000024.1.1.234.TextGrid,e9f9b757f9753cabb2b473185e404f4d31d82fd318052eccb80567c3d81610ef,base,,,,,,0,base_preserved_no_curated_pointer,not_adopted,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100000040.1.1.21,SDRW2100000040,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\06_2021_SDRW2100000040.1.1.21.manual_overlay.TextGrid,6d49f9a06e0bf29528cc27ebaeebbbce252d20627e58bf46f1660f7786f24b3c,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\06_2021_SDRW2100000040.1.1.21.manual_overlay.TextGrid,6d49f9a06e0bf29528cc27ebaeebbbce252d20627e58bf46f1660f7786f24b3c,공무원으로 다 몰려 가는데 공무원 양성에 대해서는 어떻게,G O ng _ M U _ WO n _ EU _ R O | D A | M O l _ R YEO | G A _ N EU n _ D E | G O ng _ M U _ WO n | YA ng _ S EO ng _ E | D AE _ H AE _ S EO _ N EU n | EO _ TT EO h _ G E,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
